
Architectural Theory,"Harry Francis Mallgrave,",Blackwell Pub,2005,english,PDF, 3.64 MB
建筑钢笔画教程 (Pen Architectural Painting Tutorial),"Gao Ming (高明),",Gansu People's Publishing House,2009,chinese,PDF, 61.71 MB
Thinking Architecture,"Peter Zumthor,",Birkhäuser Architecture,2006,english,PDF, 12.27 MB
幻方: 中国古代的城市,"阿尔弗雷德·申茨,",中国建筑工业出版社,2009,chinese,PDF, 88.03 MB
艺术学概论,"彭吉象,",北京大学出版社,2015,chinese,PDF, 185.37 MB
"Zen Gardens: The Complete Works of Shunmyo Masuno, Japan’s Leading Garden Designer","Shunmyo Masuno, Mira Locher,",Tuttle Publishing,2012,english,PDF, 83.98 MB
Design Drawing,"Francis D. K. Ching, Steven P. Juroszek,",Wiley,2010,english,PDF, 74.06 MB
Site Analysis: Diagramming Information for Architectural Design,"Edward T. White,",Architectural Media Ltd,1983,english,PDF, 42.19 MB
Towards a New Architecture,"Le Corbusier,",Dover Publications,1985,english,PDF, 27.22 MB
The Idea of the Castle in Medieval England,"Abigail Wheatley,",York Medieval Press,2004,english,PDF, 1.10 MB
"Interior Color by Design: A Design Tool for Architects, Interior Designers, and Homeowners","Jonathan Poore,",Rockport Publishers,1994,english,PDF, 63.09 MB
The Garden as Architecture,"Toshiro Inaji,",Kodansha Amer Inc,1998,english,PDF, 134.58 MB
Structural Packaging: Design Your Own Boxes and 3D Forms,"Paul Jackson,",Laurence King Publishing,2012,english,PDF, 2.20 MB
The City in History,"Lewis Mumford,","Harcourt Brace Janovich, Inc.",1961,english,PDF, 100.62 MB
中国古代建筑技术史,"中国科学院自然科学史研究所,",科学出版社,1985,chinese,PDF, 233.02 MB
Basics Interior Design: Retail Design,"Lynne Mesher,",Ava Publishing,2010,english,PDF, 16.00 MB
150 Best New Bathroom Ideas,"Francesc Zamora Mola,",Harper Design,2015,english,EPUB, 79.50 MB
The Death and Life of Great American Cities,"Jane Jacobs,",Vintage Books,1961,english,EPUB, 1.92 MB
1000 Turn-of-the-Century Houses: With Illustrations and Floor Plans,"Herbert C. Chivers,",Dover Publications,2007,english,EPUB, 187.09 MB
Everyday Urban Sketching,"Stephanie Bower, Suma CM, Judith Cassel-Mamet, Marc Taro Holmes,",The Teaching Company,2019,english,PDF, 20.02 MB
Vitruvius: The Ten Books on Architecture [REPRINT],"Marcus Vitruvius Pollio, (transl, Morris Hicky Morgan, ),",Harvard University Press,1914,english,PDF, 7.10 MB
设计准则: 成为自己的室内设计师,"伊莱恩·格里芬,",山东画报出版社,2011,chinese,PDF, 30.02 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
他从火光中走来,"by耳东兔子,",,,chinese,MOBI , 1.02 MB
best of Detail: Fassaden/Facades,"Christian Schittich,",DETAIL,2015,german,PDF, 40.89 MB
Dream Cities: Seven Urban Ideas That Shape the World,"Graham Wade.,",,,english,EPUB, 4.72 MB
中国建筑史 = A history of Chinese architecture,"Pan gu xi, 潘谷西,",中国建筑工业出版社,2009,chinese,PDF, 39.84 MB
Threshold spaces : transitions in architecture : analysis and design tools,"Till Boettger,",Birkhäuser,2014,english,PDF, 5.26 MB
Life Between Buildings: Using Public Space,"Jan Gehl,",Island Press,2011,english,PDF, 7.93 MB
150 Best New Kitchen Ideas,"Manel Gutierrez,",Harper Design,2015,english,EPUB, 63.40 MB
图解室内设计 第二版(建筑·室内设计、装饰装修) .pdf,"图解室内设计 第二版(建筑·室内设计、装饰装修) .pdf,",,,chinese,PDF, 27.38 MB
梁思成笔下的建筑之美(套装共4册)(跟随梁思成的文字和照片去体味那失落已久的中国古建之美),"梁思成 [梁思成],",,2017,chinese,EPUB, 76.52 MB
Beauty and Islam: Aesthetics in Islamic Art and Architecture,"Valerie Gonzalez,",,2001,english,PDF, 1.15 MB
The Eyes of the Skin: Architecture and the Senses,"Juhani Pallasmaa,",Wiley,2012,english,PDF, 15.41 MB
Santiago Calatrava,"Philip Jodidio,",Taschen,1998,english,PDF, 190.40 MB
Architects' Data,"Ernst Neufert, Peter Neufert,",John Wiley & Sons,2012,english,PDF, 40.70 MB
"The SketchUp workflow for architecture: modeling buildings, visualizing design, and creating construction documents with SketchUp Pro and LayOut","Brightman, Michael,",Wiley,2018,english,PDF, 142.37 MB
小王子三部曲（一直以来，我们只读了《小王子》的三分之一！《小王子》只是三部曲的终篇，它的前传《风沙星辰》《夜间飞行》埋藏着《小王子》真正的深层意义。小王子诞生75周年完整珍藏版！）,"圣-埃克苏佩里 [未知],",,2018,chinese,EPUB, 4.50 MB
"Advanced Construction Technology, 4th Edition  ","Roy Chudley, Roger Greeno,",Prentice Hall (UK),2006,english,PDF, 44.33 MB
Tiny House Design & Construction Guide,"Dan Louche,",Tilt Development,2014,english,PDF, 8.50 MB
外国建筑史,"陈志华,",中国建筑工业出版社,2010,chinese,PDF, 67.36 MB
Architecture in Switzerland,"Philip Jodidio,",Taschen,2006,english,PDF, 176.80 MB
北京古建筑物语（套装3册）红墙黄瓦+晨钟暮鼓+八面来风 梁思成弟子、著名建筑学家、音乐人高晓松妈妈张克群倾力之作，看故宫、潭柘寺、卢沟桥等140处北京古建筑背后有哪些有趣的故事，让你看懂身边的古建筑,"张克群,",化学工业出版社,2019,chinese,EPUB, 33.07 MB
Complexity and Contradiction in Architecture,"Robert Venturi,",Harry N. Abrams,2002,english,PDF, 26.25 MB
射雕英雄传,"金庸,",生活·读书·新知三联书店,1994,chinese,EPUB, 10.41 MB
Architecture in France,"Philip Jodidio,",Taschen,2006,english,PDF, 366.92 MB
"Draw 50 Buildings and Other Structures: The Step-by-Step Way to Draw Castles and Cathedrals, Skyscrapers and Bridges, and So Much More...","Lee J. Ames,",Watson-Guptill,12,english,EPUB, 29.08 MB
Mastering Autodesk Revit 2020,"Robert Yori - Marcus Kim - Lance Kirby,",Sybex,2020,english,PDF, 58.42 MB
世界建筑大师名作图析,"(美)罗杰 H. 克拉克, 迈尔 波斯, 汤纪敏,",中国建筑工业出版社,1997,chinese,PDF, 26.99 MB
大故宫六百年风云史（一座紫禁城，半部中国史。24位帝王、100余座宫殿、30余件国宝、500多位明清人物的风云往事，一一重现！）,"阎崇年,",,2020,chinese,EPUB, 1.11 MB
Le Corbusier in Detail,"Flora Samuel,",Architectural Press,2007,english,PDF, 9.59 MB
BASICS Fundamentals Of Presentation: Technical Drawing,"Isabella Skiba, Bert Bielefeld,",Birkhauser Verlag GmbH,2013,english,PDF, 7.48 MB
"The Family Cabin: Inspiration for Camps, Cottages, and Cabins","Dale Mulfinger,",Taunton Press,2017,english,PDF, 58.33 MB
O design do dia a dia,"Donald A. Norman,",Anfiteatro,2018,portuguese,EPUB, 2.85 MB
Sir Norman Foster,"Philip Jodidio,",Taschen,,english,PDF, 16.96 MB
The artful garden: creative inspiration for landscape design,"James van Sweden, Tom Christopher,",Random House,2011,english,EPUB, 28.49 MB
神雕侠侣,"金庸,",,2017,chinese,EPUB, 10.52 MB
"SketchUp for Interior Design: 3D Visualizing, Designing, and Space Planning","Lydia Cline,",Wiley,2014,english,PDF, 22.35 MB
天下无谋之秘卷八书：罗织经+荣枯鉴+守弱学+韬晦术+止学+度心术+权谋残卷+处世悬镜+势胜学+予学+仕赢学+观人经+解厄学,"中国潜文化,",,2019,chinese,EPUB, 104 KB
The Essential Garden Design Workbook,"Rosemary Alexander,",Timber Press,2009,english,EPUB, 9.97 MB
中国建筑艺术全集  宫殿建筑（一）（北京）,"中国建筑艺术全集编辑委员会编,",中国建筑工业出版社,2003,chinese,PDF, 114.14 MB
诗人十四个,"黄晓丹 [黄晓丹],",乐府文化,2019,chinese,EPUB, 246 KB
The Bauhaus Ideal Then and Now: An Illustrated Guide to Modern Design,"William Smock,",Chicago Review Press,2009,english,EPUB, 15.73 MB
单个几何体结构素描范本: 单个几何体结构素描范本,"刘军,",湖北美术出版社,2011,chinese,PDF, 75.49 MB
A Beginner’s Guide to 3D Modeling: A Guide to Autodesk Fusion 360,"Cameron Coward,",No Starch Press,2019,english,EPUB, 23.18 MB
Understanding Architecture,"Robert McCarter, Juhani Pallasmaa,",Phaidon,2012,english,PDF, 176.14 MB
Tree Houses: Fairy Tale Castles in the Air,"Philip Jodidio, Patrick Hruby (illustrator),",Taschen,2012,english,PDF, 493.11 MB
Carlo Scarpa. ,"Sergio Los, Carlo Scarpa, Klaus Frahm,",Taschen America,1999,spanish,PDF, 39.79 MB
认识建筑,"罗伯特·麦卡特, 尤哈尼·帕拉斯玛,",后浪 | 湖南美术出版社,2020,chinese,PDF, 209.07 MB
Graphic History of Architecture,"John Mansbridge,",Hennessey & Ingalls,1999,english,PDF, 64.66 MB
Draplin Design Co.: Pretty Much Everything,"Aaron Draplin,",,2016,english,EPUB, 81.39 MB
Frank Lloyd Wright - A Visual Encyclopedia,"Iain Thomson,",Thunder Bay Press ,1999,english,PDF, 57.03 MB
Foundations of Landscape Architecture: Integrating Form and Space Using the Language of Site Design,"Norman Booth,",Wiley,2011,english,PDF, 44.82 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
中国建筑艺术全集   宫殿建筑（二）（北京）,"茹竞华主编；中国建筑艺术全集编辑委员会编,",中国建筑工业出版社,2001,chinese,PDF, 133.77 MB
Smart Cities (The MIT Press Essential Knowledge series),"Germaine Halegoua,",The MIT Press,2020,english,EPUB, 460 KB
Visual Grammar (Design Briefs)  ,"Christian Leborg,",Princeton Architectural Press,2006,english,PDF, 70.41 MB
形式、空间和秩序.(第2版),"程大锦(Francis.D.K.Ching),",,2008,chinese,PDF, 24.99 MB
"Architecture in the Netherlands. (Edizione : italiana, spagnola e portoghese)","Philip Jodidio,",Taschen,2006,spanish,PDF, 78.62 MB
【精排】白鹿原（20周年纪念版）,"陈忠实,",人民文学出版社,2016,chinese,MOBI , 7.00 MB
华夏意匠 : 中国古典建筑设计原理分析,"Li Yunhe (李允鉌),",天津大学出版社,2005,chinese,PDF, 43.32 MB
Site Analysis: Informing Context-Sensitive and Sustainable Site Planning and Design,"James A. LaGro,",Wiley,2013,english,PDF, 48.28 MB
倚天屠龙记,"金庸,",生活·讀書·新知三聯,2017,chinese,EPUB, 10.97 MB
Tiny House: 12 Unique Ways to Design Your Tiny Home and Maximize Space,"Alvin Singh,",CreateSpace Independent Publishing Platform,2015,english,EPUB, 1.29 MB
The Gothic cathedral : origins of Gothic architecture and the medieval concept of order,"Otto Georg von Simson,",Princeton University Press,1974,english,PDF, 51.73 MB
臣服实验,"迈克.A辛格,",南京大学出版社,,chinese,PDF, 54.07 MB
室内设计资料集 (建筑·室内设计、装饰装修).pdf,"室内设计资料集 (建筑·室内设计、装饰装修).pdf,",,,,PDF, 22.67 MB
The Architecture of the City,"Aldo Rossi,",MIT Press,1984,english,PDF, 8.07 MB
Open Concept Houses,"Francesc Zamora Mola,",Harper Design,2018,english,EPUB, 353.56 MB
Modern Architecture since 1900,"William J. R. Curtis,",Phaidon Press Limited,1982,english,PDF, 66.70 MB
中国古代艺术与建筑中的“纪念碑性”,"巫鸿,",上海人民出版社,2009,chinese,PDF, 23.23 MB
Australia's Best Houses,"Gary Takle,",Think Publishing,2011,english,PDF, 219.93 MB
Zaha Hadid,"Philip Jodidio,",Taschen,2016,english,PDF, 56.93 MB
中国建筑艺术全集  4  古代城镇,"汤道烈，任云英主编；中国建筑艺术全集编辑委员会编,",中国建筑工业出版社,2003,chinese,PDF, 153.15 MB
The Genius of Japanese Carpentry: Secrets of an Ancient Craft,"Azby Brown,",Tuttle Publishing,2014,english,EPUB, 10.08 MB
Travels in the History of Architecture,"Robert Harbison,",Reaktion Books,2009,english,PDF, 5.86 MB
Anglo-Norman Castles,"Robert Liddiard,",Boydell Press,2003,english,PDF, 179.78 MB
Baroque and Rococo Art and Architecture,"Robert Neuman,",Pearson,2012,english,PDF, 113.40 MB
Architecture in Europe Since 1968: Memory and Invention,"Alexander Tzonis, Liane Lefaivre,",Thames & Hudson,1997,english,PDF, 70.71 MB
Urban and Regional Planning,"Peter Geoffrey Hall, Mark Tewdwr-Jones,",Routledge,2019,english,PDF, 56.09 MB
Ritual House: Drawing on Nature's Rhythms for Architecture and Urban Design,"Ralph Knowles,",Island Press,2006,english,PDF, 5.42 MB
The Portfolio: An Architectural Student's Handbook,"Igor Marjanović, Katerina Rüedi, Lesley Naa Norle Lokko,",Routledge,2003,english,PDF, 3.59 MB
"A History of the Crusades, Volume IV: The Art and Architecture of the Crusader States","Kenneth M. Setton, Harry W. Hazard,",University of Wisconsin Press,1977,english,PDF, 36.64 MB
Makers of Modern Architecture - Volume II (From Le Corbusier to Rem Koolhaas),"Martin Filler,",New York Review Books,2013,english,EPUB, 7.96 MB
Chinese Gardens,"Lou Qingxi,",China Intercontinental Press,2003,english,PDF, 25.80 MB
A Livraria dos Achados e Perdidos,"Susan Wiggs [Wiggs, Susan],",Harlequin,2020,portuguese,EPUB, 1.17 MB
Coastal Houses ,"Arian Mostaedi,",Links Internacional,2007,english,PDF, 85.67 MB
150 Best New Apartment Ideas,"Francesc Zamora Mola,",Harper Design,2011,english,EPUB, 144.77 MB
Minimalism Home: Minimalist Interior Design Decoded,"Rocio Solis,",Independently Published ,2020,english,EPUB, 4.69 MB
Tadao Ando - Complete Works,"Francesco Dal Co, Tadao Andō,",Phaidon Press,1997,english,PDF, 35.26 MB
民国人物传记：全景还原真实的胡适、蔡元培、陈独秀和王明（全4册）,"罗志田 & 娄岙菲 & 唐宝林 & 郭德宏,",社会科学文献出版社,2018,chinese,EPUB, 6.23 MB
Seismic and Wind Design of Concrete Buildings:,"S. K. Ghosh, David A. Fanella,",Kaplan Publishing,2003,english,PDF, 27.88 MB
Modern Architecture: A Critical History,"Kenneth Frampton,",Thames and Hudson,1992,english,PDF, 28.07 MB
布达拉宫; Potala Palace,"西藏建筑勘察设计院, 中国建筑技术研究院历史所,",中国建筑工业出版社,2011,chinese,PDF, 160.18 MB
中国建筑艺术全集  18  私家园林,"中国建筑艺术全集编辑委员会编；陈薇卷主编,",中国建筑工业出版社,1999,chinese,PDF, 99.03 MB
"Museum Making: Narratives, Architectures, Exhibitions","Suzanne Macleod, Laura Hourston Hanks, Jonathan Hale,",Routledge,2012,english,PDF, 12.04 MB
Great Monuments of India,"DK,","DK, Dorling Kindersley",2009,english,PDF, 157.32 MB
Details in Contemporary Architecture,"Christine Killory, René Davids,",Princeton Architectural Press,2007,english,PDF, 73.08 MB
Sketching for Architecture + Interior Design,"Stephanie Travis,",Laurence King Publishing,2015,english,PDF, 13.26 MB
150 Best Terrace and Balcony Ideas,"Irene Alegre,",Harper Design,2013,english,PDF, 59.82 MB
Una historia universal de la arquitectura. Un análisis cronológico comparado a través de las culturas Vol 2. Del siglo XV a nuestros días,"Francis D. K. Ching, Mark M. Jarzombek, Vikramaditya Prakash,",Gustavo Gili,2011,spanish,PDF, 37.05 MB
"写作是门手艺（为中国学生量身定做的论文写作课，破解论文写作困境的必备宝典,让你不再因为写不出论文而掉光头发。)","刘军强,",,2020,chinese,PDF, 9.13 MB
Louis I. Kahn: Complete Work 1935-1974,"Heinz Ronner, Sharad Jhaveri,",Birkhauser,1987,english,PDF, 63.14 MB
Architecture in the United Kingdom,,Taschen,,english,PDF, 245.32 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
La Bauhaus: 1919–1933: Reforma y vanguardia,"Magdalena Droste,",Taschen,2006,spanish,PDF, 30.43 MB
El Croquis 44+58 - Tadao Ando 1983-1992,"Richard C. Levene, Fernando Márquez Cecilia,",Asociación de Editores de Madrid,1994,english,PDF, 51.65 MB
"Art Deco Architecture: Design, Decoration, and Detail from the Twenties and Thirties","Patricia Bayer,",Thames Hudson,1999,english,PDF, 21.55 MB
Citizens of No Place: An Architectural Graphic Novel,"Jimenez Lai,",Princeton Architectural Press,2012,english,PDF, 23.16 MB
The Urban Climatic Map: A Methodology for Sustainable Urban Planning,"Edward Ng, Chao Ren,",Routledge,2015,english,PDF, 77.08 MB
Generative Design: Form-Finding Techniques in Architecture,"Asterios Agkathidis,",Laurence King Publishing,2016,english,PDF, 12.22 MB
中国建筑艺术史（上、下册）,"萧默主编；中国艺术研究院《中国建筑艺术史》编写组编著,",文物出版社,1996,chinese,PDF, 248.04 MB
Learning from Las Vegas: The Forgotten Symbolism of Architectural Form,"Robert Venturi, Steven Izenour, Denise Scott Brown,",The MIT Press,1988,english,PDF, 33.73 MB
20世纪世界建筑史,"[英]威廉J•R•柯蒂斯, 本书翻译委员会,",中国建筑工业出版社,2011,chinese,PDF, 253.99 MB
Public Architecture Now!,"Philip Jodidio,",Taschen,2010,english,PDF, 194.14 MB
Una historia universal de la arquitectura. Un análisis cronológico comparado a través de las culturas Vol 1. De las culturas primitivas al siglo XIV,"Francis D. K. Ching, Mark M. Jarzombek, Vikramaditya Prakash,",Gustavo Gili,2011,spanish,PDF, 33.52 MB
博尔赫斯诗选,"豪尔赫·路易斯·博尔赫斯，陈东飚，陈子弘 等,",河北教育出版社,2003,chinese,EPUB, 616 KB
Medieval Ornament: 950 Illustrations Part 1,"Heideloff Karl Alexander.,",,,english,RAR, 124.52 MB
Crit - An Architectural Student's Handbook,"Charles Doidge, Rachel Sara, Rosie Parnell,",Routledge,2000,english,PDF, 2.35 MB
园冶（注释、翻译、赏析，完整保留235幅线图，书前加入彩插示意。中国雅文化典范，古代园林百科全书。）(果麦经典),"计成 & 张则桐,",三秦出版社,2021,chinese,EPUB, 9.56 MB
"Think Like An Architect: How to develop critical, creative and collaborative problem-solving skills","Randy Deutsch,",Riba Publishing,2020,english,PDF, 19.65 MB
Lessons for students in architecture,"Herman Hertzberger,",010 Uitgeverij,1993,english,PDF, 38.05 MB
Build Your Own Shipping Container Home: The Beginner's Guide,"Brodie Norris,",,2015,english,EPUB, 2.08 MB
中国建筑艺术全集 10 书院建筑,"中国建筑艺术全集编辑委员会编；杨慎初等卷主编；蔡凌等摄影,",中国建筑工业出版社,2001,chinese,PDF, 145.07 MB
中国建筑艺术全集  5  桥梁、水利建筑,"潘洪萱卷主编；中国建筑艺术全集编辑委员会编,",中国建筑工业出版社,,chinese,PDF, 140.91 MB
Cabin Porn: Inspiration for Your Quiet Place Somewhere,"Zach Klein, Noah Kalina, Steven Leckart,","Little, Brown and Company",2015,english,EPUB, 238.58 MB
